cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,query,cns_drug,smiles
2800,C26H28ClNO,406,7.2,0,2,FALSE,Clomifene,FALSE,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
2801,C19H23ClN2,314.9,5.2,0,2,FALSE,Clomipramine,TRUE,CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
54680675,C23H25ClN2O9,508.9,-1.5,7,10,FALSE,Clomocycline,FALSE,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCO)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O
2802,C15H10ClN3O3,315.71,2.4,1,4,TRUE,Clonazepam,TRUE,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
2803,C9H9Cl2N3,230.09,1.6,2,1,TRUE,Clonidine,TRUE,ClC1=CC=CC(Cl)=C1NC1=NCCN1
60606,C16H16ClNO2S,321.8,3.8,0,4,TRUE,Clopidogrel,FALSE,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl
2809,C16H11ClN2O3,314.72,3.3,2,4,TRUE,Clorazepate,TRUE,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
2811,C16H15ClN2OS,318.8,3.5,0,3,TRUE,Clotiazepam,FALSE,CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl
2812,C22H17ClN2,344.8,5,0,1,TRUE,Clotrimazole,FALSE,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
6098,C19H18ClN3O5S,435.9,2.4,2,7,TRUE,Cloxacillin,FALSE,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1Cl)C(O)=O
2816,C17H14Cl2N2O2,349.2,3.2,1,3,TRUE,Cloxazolam,FALSE,ClC1=CC2=C(NC(=O)CN3CCOC23C2=CC=CC=C2Cl)C=C1
135398737,C18H19ClN4,326.8,3.1,1,3,TRUE,Clozapine,TRUE,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
446220,C17H21NO4,303.35,2.3,0,5,TRUE,Cocaine,FALSE,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C
5284371,C18H21NO3,299.4,1.1,1,4,TRUE,Codeine,TRUE,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
6167,C22H25NO6,399.4,1,1,6,TRUE,Colchicine,FALSE,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O
160051,C31H67Cl3N4O,618.2,NA,4,5,FALSE,Colesevelam,FALSE,NA
62816,C11H28ClN5O,281.83,NA,5,6,FALSE,Alseroxylon,FALSE,NA
62816,C11H28ClN5O,281.83,NA,5,6,FALSE,Colestipol,FALSE,ClCC1CO1.NCCNCCNCCNCCN
216258,C58H105N16Na5O28S5,1749.8,NA,18,33,FALSE,Colistimethate,FALSE,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O
70789202,C58H105N16O28S5-5,1634.9,-17.1,18,33,FALSE,Colistimethate,FALSE,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O
216259,C58H110N16O28S5,1639.9,-16.7,23,33,FALSE,Colistimethate,FALSE,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O
5311054,C52H98N16O13,1155.4,-3.3,18,18,FALSE,Colistin,FALSE,[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC(C)CC)[C@@H](C)O)[C@@H](C)O
44144393,C52H98N16O13,1155.4,-3.3,18,18,FALSE,Colistin,FALSE,[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC(C)CC)[C@@H](C)O)[C@@H](C)O
45357147,C52H98N16O13,1155.4,-3.3,18,18,FALSE,Colistin,FALSE,[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC(C)CC)[C@@H](C)O)[C@@H](C)O
57417187,C52H98N16O13,1155.4,-3.3,18,18,FALSE,Colistin,FALSE,[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC(C)CC)[C@@H](C)O)[C@@H](C)O
44384985,C60H100N2,849.4,21.9,0,2,FALSE,Collagenase,FALSE,NA
151171,C32H26N4O2,498.6,5.7,2,3,FALSE,Conivaptan,FALSE,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1
45357473,C18H21NaO5S,372.4,NA,0,5,FALSE,Conjugated Estrogens,FALSE,[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS([O-])(=O)=O)C=C3CC[C@@]21[H]
23667301,C18H21NaO5S,372.4,NA,0,5,FALSE,Conjugated Estrogens,FALSE,[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS([O-])(=O)=O)C=C3CC[C@@]21[H]
16132265,C207H308N56O58S,4541,-19.7,63,68,FALSE,Corticotropin,FALSE,NA
5745,C23H30O6,402.5,2.1,1,6,TRUE,Cortisone acetate,FALSE,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
16133802,C136H210N40O31S,2933.4,-7.9,42,41,FALSE,Cosyntropin,FALSE,NA
16129617,C136H210N40O31S,2933.4,-7.9,42,41,FALSE,Cosyntropin,FALSE,NA
16162116,C136H210N40O31S,2933.4,-7.9,42,41,FALSE,Cosyntropin,FALSE,NA
586,C4H9N3O2,131.13,-1.2,3,3,TRUE,Creatine,FALSE,CN(CC(O)=O)C(N)=N
36511,C63H98N18O13S,1347.6,-2.3,15,17,FALSE,Crofelemer,FALSE,NA
2882,C23H16O11,468.4,1.9,3,11,FALSE,Cromoglicic acid,FALSE,OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O
688020,C13H17NO,203.28,2.8,0,1,TRUE,Crotamiton,FALSE,CCN(C(=O)C=CC)C1=CC=CC=C1C
5311498,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
70678590,C63H88CoN14O14P-3,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
46853873,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
11970261,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
24892734,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
54605677,C63H89CoN14O14P,1356.4,NA,10,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
129627537,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
5460135,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
6474318,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
23806828,C63H89CoN14O14P+,1356.4,NA,10,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
25102581,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
25195380,C62H89CoN13O14P-,1330.4,NA,10,19,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
44176380,C63H89CoN14O14P,1356.4,NA,10,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
91898871,C62H88N13O14P-2,1270.4,-3.4,9,19,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
118701720,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
129627679,C63H89CoN14O14P,1356.4,NA,10,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
137332389,C63H88CoN14O14P-,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
139030973,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
145875202,C63H88CoN14O14P,1355.4,NA,9,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
156587311,C63H89CoN14O14P-2,1356.4,NA,10,21,FALSE,Cyanocobalamin,FALSE,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12
19003,C15H23N3O4S,341.4,1.3,3,6,TRUE,Cyclacillin,FALSE,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1(N)CCCCC1)C(O)=O
2893,C17H24O3,276.4,4.2,1,3,TRUE,Cyclandelate,FALSE,CC1CC(CC(C)(C)C1)OC(=O)C(O)C1=CC=CC=C1
6726,C18H22N2,266.4,3.6,0,2,TRUE,Cyclizine,FALSE,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
2895,C20H21N,275.4,5.2,0,1,FALSE,Cyclobenzaprine,TRUE,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2905,C17H25NO3,291.4,2.7,1,4,TRUE,Cyclopentolate,FALSE,CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1
2907,C7H15Cl2N2O2P,261.08,0.6,1,4,TRUE,Cyclophosphamide,FALSE,ClCCN(CCCl)P1(=O)NCCCO1
6234,C3H6N2O2,102.09,-1.5,2,3,TRUE,Cycloserine,FALSE,N[C@@H]1CONC1=O
5284373,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
6435893,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
5280754,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
62280,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
24883466,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
5497195,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
25246316,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
122172945,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
123134263,C62H111N11O12,1202.6,7.5,5,12,FALSE,Cyclosporine,FALSE,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
2910,C14H16ClN3O4S2,389.9,2,3,7,TRUE,Cyclothiazide,FALSE,NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C1CC2CC1C=C2
2911,C19H29NO,287.4,3.9,1,2,TRUE,Cycrimine,FALSE,OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1
2913,C21H21N,287.4,4.7,0,1,TRUE,Cyproheptadine,FALSE,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
5284537,C22H27ClO3,374.9,3.1,1,3,TRUE,Cyproterone,FALSE,[H][C@@]12C[C@]1([H])[C@@]1(C)C(=CC2=O)C(Cl)=C[C@@]2([H])[C@]3([H])CC[C@](O)(C(C)=O)[C@@]3(C)CC[C@]12[H]
6058,C2H7NS,77.15,-0.4,2,2,FALSE,Cysteamine,FALSE,NCCS
6253,C9H13N3O5,243.22,-2.1,4,5,TRUE,Cytarabine,FALSE,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
135565674,C34H41N7O5,627.7,5.3,3,9,FALSE,Dabigatran etexilate,FALSE,CCCCCCOC(=O)N=C(N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=CC=CC=N3)N2C)C=C1
44462760,C23H20F3N5O2S2,519.6,4.8,2,11,FALSE,Dabrafenib,FALSE,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1
135398738,C6H10N6O,182.18,-0.6,2,5,TRUE,Dacarbazine,FALSE,CN(C)N=NC1=C(N=CN1)C(N)=O
2942,C6H10N6O,182.18,-0.6,2,5,TRUE,Dacarbazine,FALSE,CN(C)N=NC1=C(N=CN1)C(N)=O
