name,smiles,formula,molecular_weight,log_p,fragneg,cas,dtxsid
Diethyl butanedioate,CCOC(=O)CCC(=O)OCC,C8H14O4,174.19,0.778,"41.00329,69.4099467750243;45.03459,38.4879528415269;59.01385,58.5989812854118;85.0295,100;87.04515,10.1012991472558;101.0608,18.3654781663137;155.07137,10.2157614605391;55.01894,71.0124191609912;71.01385,39.7241458249871;73.0295,42.5399187317576;83.01385,21.8165169118068;96.99312,7.31414181880616;99.00877,17.0377153322269;101.02442,28.346591884622;127.04007,24.2889028787272;57.03459,51.2104389629714;68.9982,13.0315343673096;69.03459,24.3690264980255;129.05572,32.1868024952784",123-25-1,DTXSID2038732
Pymetrozine,CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2,C10H11N5O,217.23,0.162,"69.04582,37.925;97.04074,74.26;0.0090726,0.0033441;41.99854,100;92.05057,26.425;105.04582,16.1;110.03599,6.95;112.05164,7.305;120.05672,12.025;146.03599,5.435;57.00944,4.09;67.03017,2.78;78.03492,10.05;80.01419,2.78;103.03017,8.015;132.05672,2.985;214.07343,3.105",123312-89-0,DTXSID2032637
Hydroquinone,C1=CC(=CC=C1O)O,C6H6O2,110.11,0.654,"107.01385,4.61;41.00329,100;53.00329,53.06;55.01894,23.31;77.00329,21.7",123-31-9,DTXSID7020716
Maleic hydrazide,C1=CC(=O)NNC1=O,C4H4N2O2,112.09,0.19,"41.99854,100;53.00329,10.9588441330998;55.01894,17.2854640980736",123-33-1,DTXSID9020792
Pyrithiobac,COC1=CC(=NC(=N1)SC2=C(C(=CC=C2)Cl)C(=O)O)OC,C13H11ClN2O4S,326.76,1.118,"281.0157,43.4280639431616;34.9694,96.9360568383659;142.97277,100",123342-93-8,DTXSID8032673
Myrcene,CC(=CCCC(=C)C=C)C,C10H16,136.23,4.17,"109.10227,4.37;119.08662,32.13;51.02402,17.11;63.02402,23.04;65.03967,100;67.05532,16.76;79.05532,24.77;91.05532,23.29;93.07097,24.1",123-35-3,DTXSID6025692
3-Methylbutyl acetate,CC(C)CCOC(=O)C,C7H14O2,130.18,2.099,"59.01385,100;87.08154,4.32666666666667;41.00329,15.4233333333333",123-92-2,DTXSID9025453
SSR241586 pharma  free base,CN(C)C(=O)C1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC=C(Cl)C(Cl)=C2)CC1)N1CCCCC1,C32H42Cl2N4O3,601.6,2.455,"34.9694,100;382.25,20.5046841946207;434.17714,2.43275914173466;492.24233,17.7621637957087;520.23724,2.03233605318827;526.20336,37.5339981867634;553.21426,3.55092172861892;554.19827,18.2079177999396;555.22991,2.72741009368389;556.21392,8.29555757026292;557.24556,3.67180417044424;563.27944,4.23844061650045;569.24556,2.05500151103052;573.24047,3.30915684496827;581.24556,9.64792988818374;597.24047,3.43759443940768;41.99854,2.30432154729526;44.05057,3.95134481716531;56.01419,2.28165608945301;77.03967,10.403445149592;173.10842,2.27410093683892;181.13464,2.65185856754306;183.15029,2.87095799335147;187.12407,7.36627379873073;193.17102,5.84013297068601;330.00941,2.97673012994862;332.02506,6.46721063765488;334.04071,26.5034753702025;348.05636,2.12299788455727;350.07201,3.83801752795407;367.13494,8.59020852221215;370.21362,2.97673012994862;380.23435,13.7352674524025;422.17714,2.94650951949229;424.19279,2.1078875793291;443.12986,5.80991236022968;445.14551,4.56331217890601;500.15132,2.79540646721064;514.16697,3.11272287700212;516.18262,4.43487458446661;522.17206,3.34693260803868;524.18771,5.51526140828045;528.21901,12.413115744938",1239279-30-1,DTXSID2047353
Hexanedioic acid,C(CCC(=O)O)CC(=O)O,C6H10O4,146.14,0.006,"101.0608,56.64;83.05024,100;41.00329,20.29;44.9982,16.085;59.01385,41.585;71.01385,15.36;79.01894,7.9;81.03459,22.21",124-04-9,DTXSID7021605
Octanoic acid,CCCCCCCC(=O)O,C8H16O2,144.21,3.018,"99.11792,12.54;97.10227,5.82;41.00329,7.16;44.9982,100;51.02402,5.1;53.00329,7.75;67.01894,14.06;67.05532,6.2;71.01385,5.09;81.03459,7.38;95.05024,11.51;107.08662,9.25;109.06589,5.8;125.09719,8.36",124-07-2,DTXSID3021645
Octanal,CCCCCCCC=O,C8H16O,128.21,3.432,"99.11792,12.05;95.08662,10.4;97.10227,9.17;109.10227,20.99;41.00329,100;43.01894,41.8;51.02402,17.44;53.03967,20.64;55.01894,62.27;57.03459,22.16;65.03967,11.86;67.01894,20.38;67.05532,28.81;69.03459,14.66",124-13-0,DTXSID3021643
Decane,CCCCCCCCCC,C10H22,142.28,6.03,"139.14922,39.8773006134969;53.03967,60.1840490797546;57.07097,62.8220858895706;67.05532,69.2024539877301;69.07097,55.2453987730061;71.08662,100;85.10227,44.079754601227;111.11792,47.1472392638037;113.13357,50.5521472392638;125.13357,66.6257668711656",124-18-5,NA
Dodecylamine,CCCCCCCCCCCCN,C12H27N,185.35,5.336,"182.19142,42.1497584541063;42.03492,81.4975845410628;53.03967,30.3381642512077;56.05057,20.1932367149758;57.07097,76.8115942028986;67.05532,54.2753623188406;70.06622,21.4251207729469;71.08662,100;85.10227,28.2850241545894;97.10227,22.43961352657;99.11792,45.6280193236715;111.11792,32.7294685990338;112.11317,34.0821256038647;114.12882,19.3961352657005;125.13357,27.4154589371981;126.12882,50.024154589372;127.14922,52.1980676328502;128.14447,24.2512077294686;139.14922,21.7632850241546;140.14447,22.3429951690821;142.16012,18.8647342995169",124-22-1,NA
Enadoline (pharma),CN(C1CCC2(CCCO2)CC1N3CCCC3)C(=O)CC4=C5C=COC5=CC=C4,C24H32N2O3,396.5,2.271,"117.03459,24.1891015244891;131.05024,39.4096659098281;157.0295,21.6023353876095;206.15504,6.38177100227052;208.17069,3.48686344469672;235.18159,6.81154719429128;237.19724,5.36814790788193;377.22345,3.31657476483944;393.21837,100;41.00329,2.18131689912423;58.02984,6.21148232241323;72.04549,8.69283165747649;96.08187,3.99772948426857;98.06114,2.20564385338956;103.05532,4.84106389879987;133.0295,4.33830684398313;137.09719,2.1488809601038;141.03459,12.1067142393772;159.04515,11.6201751540707;164.10809,9.59292896529355;168.13939,2.09211806681803;186.05605,3.85987674343172;188.0717,2.30295167045086;198.09244,2.31106065520597;263.1765,3.30035679532922;298.14487,6.85209211806682;302.17617,2.14077197534869;312.16052,13.7204022056439;314.17617,6.29257216996432;339.17142,3.89231268245216;375.2078,4.31397988971781;379.20272,4.3058709049627",124378-77-4,DTXSID4047258
Quinoxyfen,C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F,C15H8Cl2FNO,308.1,2.452,"279.97377,0.564677265224568;235.96754,100;211.96754,31.6914255929111",124495-18-7,DTXSID2034881
Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,394.4,0.669,"335.16641,100;345.15076,13.5247582771755;363.16133,5.1801933782596;375.16133,20.0644594198652;315.1402,16.987987108116;315.16018,65.0161148549663;317.15585,50.8174626428362;331.13511,15.5581599765602;333.15076,59.419865221213;361.14568,5.79548784060944;41.00329,14.8666861998242;56.9982,8.8543803105772;59.01385,7.91678874890126;119.05024,58.5994726047466;121.06589,17.6208614122473;131.05024,7.75271022560797;133.06589,26.2291239378846;135.08154,9.8505713448579;201.09325,12.4758277175505;215.1089,7.86990917081746;305.15585,5.38529153237621;319.13511,9.17667740990331;319.1715,7.78200996191034;391.15624,17.345443891005",124-94-7,DTXSID1040742
Carminic acid,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,C22H20O13,492.4,-1.286,"341.03029,40.6439544243524;343.04594,65.1890482398957;371.04086,29.5731534493509;401.05142,16.217901479508;429.08272,82.1155263307069;433.07763,46.0461425089281;447.09329,13.8937701944334;473.07255,38.6089223966895;0.5929,0.323400034011677;59.01385,61.8218921829828;283.02481,41.0180828751205;285.04046,61.4194206677626;297.04046,78.7653761124653;313.03538,30.0379797063658;327.05103,23.3376792698827;329.03029,100;355.04594,12.8734198741568;357.02521,13.3892636471855;375.07216,10.1638229125333;387.03577,6.02573550252253;403.06707,23.1449464316082;405.08272,20.1632560512443;415.06707,9.94841562269713;445.07763,9.63664191372371;455.06198,12.8847570999376;41.00329,43.9770988039227;43.01894,17.816450314608;55.01894,15.2315628365739;73.0295,9.48925797857264;117.01933,6.17878805056403;203.05611,5.63460121308316;231.0299,6.38852672750978;261.04046,5.41919392324698;311.01973,15.1975511592313;355.00956,5.28881582676719;463.0882,9.10946091491412;0.00033353,0.000159327702511196",1260-17-9,DTXSID9022817
"2-(Hydroxymethyl)-2-nitro-1,3-propanediol",C(C(CO)(CO)[N+](=O)[O-])O,C4H9NO5,151.12,-2.155,"0,100;",126-11-4,DTXSID8027034
Sucrose octaacetate,CC(=O)OCC1C(C(C(C(O1)OC2(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,C28H38O19,678.6,0.069,"59.01385,100;287.07724,19.5399350094065;325.05651,4.78878057123311;531.13554,4.87001881306653;543.13554,5.25483153754062;545.15119,22.267829656234;0.55271,0.230442962202839;557.15119,6.11424662219942;561.14611,3.73268342739867;575.16176,48.8541132204549;603.15667,5.16504190183;605.17232,14.2637249871729;615.15667,4.08756627330255;617.17232,11.9505729433898;635.18289,20.745681546092;41.00329,14.9008038310245;99.00877,1.22712502137848;257.06668,1.21857362750128;259.08233,3.06139900803831;271.08233,5.5840602018129;289.09289,4.69899093552249;331.10346,1.25705489994869;505.15628,1.49649392851035;519.13554,2.46280143663417;533.15119,1.13305968872926;563.16176,1.18009235505387;591.15667,4.39541645288182;593.17232,1.75303574482641;131.03498,2.18488113562511;175.0612,1.65897041217718;227.05611,1.83854968359843;229.07176,1.76158713870361;273.06159,2.23618949888832;301.09289,2.74072173764324;303.07216,1.52214811014195;305.08781,2.01812895501967;447.11441,1.38105011116812;449.13006,1.22284932443988;661.16215,1.21002223362408",126-14-7,DTXSID3042423
Triflusulfuron-methyl,CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,C17H19F3N6O6S,492.4,1.037,"77.96552,47.7288304567263;79.98117,53.4612748457848;236.07647,100;383.07548,12.1253660664216;407.07548,13.8450993831391;409.09113,15.1099756994205;99.00632,7.73256900741479;138.07852,10.5676366128731;170.02812,22.7116954327372;193.03427,16.860863605209;216.07024,78.3537915134899;220.04517,86.8278397407938;41.01452,5.30874197769331;49.00837,4.65449560720294;63.02402,3.20892267430993;75.02402,3.76970527758739;111.06762,3.42700479780672;144.01247,2.72914200261699;146.02812,2.8226057698299;149.0608,5.22774004610879;153.00157,3.53293040064802;161.98665,5.40220574490622;166.02337,2.64190915321827;209.02918,2.75406567387376;222.06082,3.28369368808025;228.0336,3.60770141441834;259.07605,2.78522026294473;367.04418,7.81980185681351;413.0849,2.97837871518475;473.08605,2.72291108480279",126535-15-7,NA
Tributyl phosphate,CCCCOP(=O)(OCCCC)OCCCC,C12H27O4P,266.31,3.36,"191.08425,1.01;207.07917,13.41;209.09482,30.3;135.02165,100;137.0373,14.05;151.01657,41.11;153.03222,20.43",126-73-8,DTXSID3021986
Fenhexamid,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,C14H17Cl2NO2,302.2,3.582,"264.07968,100;34.9694,81.9987585350714;95.08662,3.04158907510863;142.00652,16.5597627422581;170.00143,37.6163873370577;172.01708,10.2489826884613;175.96754,2.00013794054762;204.103,10.6834954134768;0.082652,0.0319187530174495;41.99854,27.3122284295469;91.05532,9.61445616939099;93.07097,7.63500931098696;97.10227,9.22132560866267;139.99086,5.99351679426167;144.02217,5.24174080971101;162.09244,5.88316435616249;164.10809,15.0217256362508;167.98578,44.3547830884889;194.00143,4.73825781088351;196.01708,6.59355817642596;201.94681,10.0903510586937;243.99376,7.19359955859025;246.00941,6.3935443823712;248.04838,68.7012897441203;0.025773,0.0109655838333678;266.01449,7.41430443478861;284.02506,12.4353403683013;298.04071,24.0982136699083",126833-17-8,DTXSID3032549
"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",CC(C)CC(C)(C#CC(C)(CC(C)C)O)O,C14H26O2,226.35,3.262,"223.17035,20.6307129798903;151.11284,95.7495429616088;207.17544,100;79.05532,32.8976234003656;97.06589,44.3053016453382;99.08154,21.709323583181;101.09719,33.5283363802559;107.08662,17.8610603290676;109.10227,32.6416819012797;149.09719,19.7166361974406;151.07645,22.8153564899452;153.0921,67.4223034734918;167.10775,21.4899451553931;169.1234,67.3400365630713;181.1234,20.4021937842779;191.14414,50.8135283363803;209.1547,49.835466179159",126-86-3,DTXSID7027041
Hydroxyurea,C(=O)(N)NO,CH4N2O2,76.055,-1.606,"41.99854,100;57.99345,1.89333333333333;44.01419,0.126666666666667",127-07-1,DTXSID6025438
Prohexadione-calcium,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O,C10H12O5,212.2,-0.342,"155.03498,100;41.00329,92.1196730418221;55.01894,35.1003888580271;68.9982,23.7679549242124;69.03459,28.5453535433696;71.01385,16.9351638758829;85.0295,23.442583921911;87.04515,10.40393619554;97.0295,18.9667486707404;109.0295,59.3921117371637;111.04515,66.5344020315848;113.02442,5.2852948178716;137.02442,24.8789778589001;139.04007,41.4014760733275;153.01933,6.95976509800809;157.05063,7.22958495357511;181.01425,8.99928577097056;183.0299,12.8799301642727;193.05063,33.4417903341005;43.01894,6.75343226728037;44.9982,12.8243790175383;57.03459,13.3322752162527;67.01894,30.7356559003254;71.05024,17.2525990000794;73.0295,8.1263391794302;75.04515,11.221331640346;83.01385,9.79287358146179",127277-53-6,NA
Zamifenacin pharma,C1CC(CN(C1)CCC2=CC3=C(C=C2)OCO3)OC(C4=CC=CC=C4)C5=CC=CC=C5,C27H29NO3,415.5,3.221,"266.15504,9.33135474860335;77.03967,26.3966480446927;105.03459,71.3599860335195;167.08662,100;183.08154,16.6375698324022;224.0717,12.1246508379888;226.08735,8.30132681564246;228.103,10.8938547486034;230.11865,12.5;232.1343,14.7870111731844;246.11357,6.42458100558659;382.18125,5.28107541899441;384.1969,11.8540502793296;386.21255,12.2643156424581;398.17617,31.5729748603352;412.19182,5.31599162011173;91.05532,7.84741620111732;93.03459,9.39245810055866;96.04549,4.59148044692737;103.05532,8.82506983240223;107.05024,20.260125698324;121.0295,9.91620111731844;133.0295,6.77374301675978;135.04515,19.4570530726257;139.05532,12.0199022346369;147.04515,9.02583798882682;149.0608,5.90083798882682;181.06589,21.1941340782123;186.09244,7.82122905027933;188.10809,8.11801675977654;190.12374,4.90572625698324;240.06662,15.2060055865922;244.09792,8.72905027932961;248.12922,14.036312849162;316.17069,5.58659217877095;320.12922,11.9326117318436;334.14487,8.70286312849162;374.17617,4.7747905027933;384.16052,4.75733240223464;386.17617,6.41585195530726",127308-82-1,DTXSID9047257
"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",CC1=CCCC(C1C=C(C)C(=O)C)(C)C,C14H22O,206.32,4.284,"163.14922,64.1534022153961;83.05024,100;121.10227,93.0838685655776;161.13357,7.0743740109839;39.02402,15.5822395978777;41.00329,91.7620776319464;41.03967,17.3042911663409;43.01894,70.9764497812529;49.00837,13.5995531974309;65.03967,29.8706134226938;67.01894,51.9501070464488;117.07097,17.4997672903286;135.11792,18.6726240342549;147.11792,16.3269105464023",127-51-5,DTXSID7027047
"2,6-Di-tert-butylphenol",CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,C14H22O,206.32,4.068,"189.12849,100;55.05532,4.08061458645116;95.08662,20.2434400877981;97.06589,22.7875885463434;123.08154,20.2933253516911;133.06589,28.3946922079218;173.09719,78.8286940037913",128-39-2,DTXSID6027052
Carfentrazone-ethyl,CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl,C15H14Cl2F3N3O3,412.2,2.769,"276.0157,15.9876258803396;290.03135,100;330.02626,2.74468505232673;361.99163,5.23267294148621;374.05248,5.34456657671296;390.02293,3.84387546896597;91.99534,1.23082998749424;146.01714,1.84295399196999;225.02364,26.6438491410518;262.03643,2.14572500493648;272.04077,3.67932600539722;333.97673,18.1728427565326;345.99671,2.22470874744948;363.98729,1.82979003488449;34.9694,36.2798657276377;40.01927,10.6101494109129;57.00944,15.4018297900349;68.01419,18.0412031856776;90.01608,9.16869611005068;96.02034,37.3198183373922;118.01099,10.6430593036267;120.02664,9.03705653919568;122.03599,9.37273744487593;128.02656,13.6773514118344;135.03754,24.7284933851116;148.03279,20.5884288817218;171.01308,14.9542552491279;172.03279,46.7188836964391;183.99709,9.93878759955242;197.02873,14.3487132231949;203.97886,65.8197854274995;211.00799,8.85934311854143;245.00541,11.3210030935299;285.99557,11.0708879089054;302.03135,27.532416244323;314.01495,12.5518330810242;318.0018,46.4819324689002;320.01745,10.9260843809649;322.01311,11.3934048575002;322.0331,10.7615349173962;408.0135,9.13578621733693",128639-02-1,DTXSID4032532
Pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,C16H10,202.25,4.814,"0,100",129-00-0,DTXSID3024289
Pyraflufen-ethyl,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,C15H13Cl2F3N2O4,413.2,3.924,"324.97639,100;364.99129,7.5960629483401;382.98187,30.701217816827;391.00694,14.0799644108325;34.9694,46.5550797975866;43.01894,1.77389756992715;44.9982,2.79708613690708;59.01385,19.1625424011566;72.99312,2.80820775176556;75.00877,8.51915698159373;169.98144,18.2783740199077;241.00732,1.50697881332369;256.01822,1.71828949563477;258.03387,1.85730968136573;308.98148,6.41161096591225;338.99204,6.48390146249235;41.00329,7.00661736084079;45.03459,3.71461936273147;67.00009,3.33648445754324;69.03459,3.67013290329756;144.98619,10.0316966023467;199.00799,8.81944058277262;204.99857,21.942946115776;258.98467,55.6080742923873;280.97016,4.7822943891453;317.01461,4.54317966968804;319.03026,23.6056275371184",129630-19-9,DTXSID8034871
Dimethyl phthalate,COC(=O)C1=CC=CC=C1C(=O)OC,C10H10O4,194.18,0.946,"135.04515,94.0431090790333;77.03967,100;105.03459,43.004572175049;49.00837,8.40627041149575;51.02402,29.1116917047681;79.01894,12.3318092749837;93.03459,8.24951012410189;95.01385,16.9235793598955;109.0295,7.7073807968648;111.04515,8.09928151534945;131.01385,13.115610711953",131-11-3,DTXSID3022455
Diallyl phthalate,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,C14H14O4,246.26,2.176,"121.0295,100;161.0608,44.1516044271041;165.01933,56.533163468429;205.05063,32.7932160203838;39.02402,3.28051596464687;105.03459,13.3529739628951;149.02442,13.36491758898;187.04007,3.19292937335775;57.03459,8.22517716378692;77.03967,14.7623218409109;79.05532,4.28776176447169;123.04515,13.0026275977387;145.06589,4.55848395572896",131-17-9,DTXSID7020392
Dipentyl phthalate,CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,C18H26O4,306.4,4.784,"189.0921,7.24;191.10775,37.435;217.08702,11.835;105.03459,4.42;121.0295,100;123.04515,39.405;149.02442,25.045;151.04007,11.035;165.01933,40.805;167.03498,20.455;205.05063,3.315;207.06628,4.67;219.10267,3.37;233.08193,6.625;235.09758,28.165;275.12888,6.705;59.05024,3.665;77.03967,22.64;79.05532,3.755;87.08154,6.8;107.05024,6.14;113.0608,5.75;125.0608,19.16;127.07645,29.445;135.04515,3.62;165.0921,5.395;169.05063,4.17;175.07645,8.195;175.11284,3.945;179.03498,10.11;181.05063,3.91;191.03498,7.495;219.06628,5.445;241.14453,3.6;255.16018,4.265",131-18-0,DTXSID5031131
Fludioxonil,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,C12H6F2N2O2,248.18,1.877,"196.02156,73.0424822990421;139.03017,75.7600999583507;181.01066,88.9108704706372;181.04074,100;245.01681,99.448146605581",131341-86-1,DTXSID2032398
Monobutyl phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)O,C12H14O4,222.24,1.975,"77.03967,100;121.0295,56.206224276121;127.07645,4.97508845404;177.0921,6.61780633980793;44.9982,3.14463138132717;79.05532,3.0435410498953;81.07097,1.69326305148386;105.03459,1.77630153801719",131-70-4,DTXSID4040002
Famoxadone,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4,C22H18N2O4,374.4,3.211,"329.12955,36.38;105.04582,42.86;133.04074,51.18;169.06589,59.09;195.08154,55.55;203.04622,13.24;211.07645,58.39;345.12447,25.52;347.10373,33.5;41.99854,20.62;63.02402,27.95;92.05057,62.66;93.03459,100;119.05024,17.4;197.09719,16.32;213.0921,13.18;321.08808,11.05;323.10373,14.7;345.08808,10.6",131807-57-3,DTXSID8034588
Azoxystrobin,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC,C22H17N3O5,403.4,1.444,"212.04655,100;344.10406,25.0818139317438;225.06695,9.4109396914446;241.06187,68.7938288920056;267.07752,13.5577372604021;288.07785,28.0972417017298;312.07785,24.7592332865825;314.0935,14.2917251051893;317.09317,15.6989247311828;318.08841,2.79569892473118;328.07276,33.0575035063114;342.08841,24.9883122954652;0.2041,0.0604347826086956;41.00329,7.18092566619916;69.00944,5.23141654978962;88.01927,13.8709677419355;102.03492,6.7741935483871;118.02984,21.229546517064;119.05024,5.37634408602151;135.02,10.6545114539504;137.03565,16.507713884993;142.02984,45.75502571295;144.04549,25.4932211313698;145.04074,4.6984572230014;170.02475,16.4422627395979;170.03599,5.77840112201964;184.05164,9.57924263674614;196.05164,7.08742402992052;199.0513,4.83870967741935;213.06695,7.72791023842917;214.0622,5.62412342215989;238.0622,5.44179523141655;302.08227,5.95605423094904;315.07752,4.86676016830295",131860-33-8,DTXSID0032520
Ethoprop,CCCSP(=O)(OCC)SCCC,C8H19O2PS2,242.3,2.627,"88.97979,27.4803086959981;90.99544,20.3198345134856;122.96751,100;165.01446,94.4784787970403;75.02739,48.1820351658843;124.98316,47.7285384676585;154.93958,13.7958469249741;168.95523,11.4647147744451;199.00218,37.5686212109157;136.98316,79.5608242501392;138.99881,7.7173999522635",13194-48-4,DTXSID4032611
Triticonazole,CC1(CCC(=CC2=CC=C(C=C2)Cl)C1(CN3C=NC=N3)O)C,C17H20ClN3O,317.8,1.512,"68.02542,100;41.01452,11.18;233.07387,4.05",131983-72-7,DTXSID0032655
"N,N-dimethyl-1-(oxiran-2-yl)methanamine",CN(C)CC1CO1,C5H11NO,101.15,-0.3,"44.05057,70.49;68.05057,25.41;42.03492,76.26;55.01894,29.15;58.06622,16.89;41.00329,81.32;43.01894,100;56.05057,12.67",13222-40-7,DTXSID1044643
Dibenzofuran,C1=CC=C2C(=C1)C3=CC=CC=C3O2,C12H8O,168.19,1.917,"117.03459,0.885961022243148;141.03459,4.8248958373512;0,100",132-64-9,DTXSID2021993
Rifampicin,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,C43H58N4O12,822.9,3.238,"59.01385,100;666.29198,6.95496126406093;708.30255,10.220160196087;729.3505,8.15424344552895;731.36615,9.80435068061452;747.36107,14.0062152580207;761.37672,10.2464218496958;763.35598,10.5484308661969;779.38728,28.5683021840942;41.00329,15.380575130214;55.03017,9.24410207029369;57.04582,9.61176522081674;67.03017,13.9099225281219;69.04582,11.1261872455902;83.06147,4.0311638289491;84.05672,12.5530704250011;95.06147,39.68135860288;97.07712,43.7694226813148;98.07237,8.88081586203878;99.09277,5.52370114238193;112.08802,7.68591062283888;124.08802,24.966078697422;126.10367,11.1830874950759;707.28215,13.8705300477087;723.31345,7.2438394537576;736.3087,4.1843568083337;752.34,4.04867159802162;766.35565,5.63750164135335;768.3713,8.88519280430691;803.38728,5.33111568258415;805.36655,6.89368407230709;819.3822,14.5270713879284",13292-46-1,DTXSID6021244
Captan,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,C9H8Cl3NO2S,300.6,2.268,"269.93194,54.66;120.04549,55.49;148.87918,99.68;180.01247,12.13;261.95018,12.58;41.99854,66.05;69.99345,62.11;77.03967,60.96;130.02984,100;146.02475,28.89;148.0404,64.46;267.91629,44.03",133-06-2,DTXSID9020243
Folpet,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl,C9H4Cl3NO2S,296.6,2.414,"243.87991,3.6480686695279;267.87991,100",133-07-3,DTXSID0021385
Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,C11H11F3N2O3,276.21,2.038,"0,100;",13311-84-7,DTXSID7032004
Sorbitan,CCCCCCCCC=CCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O,C24H44O6,428.6,6.992,"43.01894,94.0185141229528;59.01385,75.3441727984809;85.0295,21.7422264419653;103.04007,28.0500830761927;113.02442,3.54854023261334;127.00368,3.14502729646333;127.04007,3.03821504865891;131.03498,6.51554711606931;141.01933,2.87206266318538;145.05063,8.88321860906717;163.0612,2.85426062188464;263.23804,41.2295276525042;281.2486,100;323.25917,8.45596961784951;367.28538,6.76477569427961;409.29595,8.40849750771422;41.00329,22.9468312366485;61.0295,7.96938048896273;71.01385,25.6824115831949;73.0295,19.8730121053881;83.01385,16.0515072394968;89.02442,10.4616662710657;99.00877,21.8015665796345;101.02442,38.0607643009732;307.26425,24.661761215286;325.27482,9.85639686684073;353.26973,6.4621409921671;56.9982,4.65226679325896;265.25369,6.40873486826489;279.23295,7.951578447662",1338-43-8,DTXSID6027397
Chloramben,C1=C(C=C(C(=C1C(=O)O)Cl)N)Cl,C7H5Cl2NO2,206.02,1.011,"159.97263,100;34.9694,46.7075187238595;40.01927,42.7390331679798;99.99595,17.1773173815777",133-90-4,DTXSID2020262
"3-({(3R,4R)-6-[(5-fluoro-1,3-benzothiazol-2-yl)methoxy]-4-hydroxy-3,4-dihydro-2H-chromen-3-yl}methyl)benzoic acid (pharma)",C1C(C(C2=C(O1)C=CC(=C2)OCC3=NC4=C(S3)C=CC(=C4)F)O)CC5=CC(=CC=C5)C(=O)O,C25H20FNO5S,465.5,1.79,"151.99757,100;420.10752,35.0030731407499;91.05532,27.9041180086048;135.04515,11.8667134954781;166.01322,46.8522258319431;267.10267,6.47554658003337;400.10129,8.65747651242427;402.09695,17.4422688559136;418.09187,8.85503556062868;430.10962,7.08578452893143;434.08678,5.84774782685047;446.08678,7.97699534638687;462.0817,6.92334708929669;77.03967,3.17850557555536;103.05532,1.68144701027307;117.07097,0.899991219597858;127.00232,0.93511282816753;136.02264,0.860479409956976;137.02442,1.11072087101589;139.99757,1.66388620598823;156.02887,1.07998946351743;161.0608,2.57704802879972;225.0921,1.41364474492932;239.10775,0.948283431381157;253.08702,5.4745807357977;265.08702,1.4048643427869;267.06628,1.05364825709017;297.07685,1.91851786811836;0.043254,0.0104820440776188;302.02927,1.23803670208096;323.0925,0.979014838879621;390.09695,1.61998419527614;394.09187,1.66827640705944;420.09112,0.847308806743349;438.0817,0.943893230309948;447.0708,1.20291509351128;448.06605,1.03608745280534;231,88.682061638423",134002-60-1,DTXSID5047297
Methyl 2-aminobenzoate,COC(=O)C1=CC=CC=C1N,C8H9NO2,151.16,0.818,"92.05057,100;118.02984,5.01148004238785;40.01927,3.2497350759449;64.01927,4.08866125044154",134-20-3,DTXSID6025567
